split_tag,train_ratio,test_ratio,seed,num_train,num_test,accuracy,precision_macro,recall_macro,f1_macro
90_10,0.9,0.1,143,25532,2836,0.9992947813822285,0.9885057471264368,0.9996364958197019,0.9940042283298097
80_20,0.8,0.2,244,22694,5674,0.9991187874515333,0.9884148380355278,0.9967125852671536,0.9925264124277041
70_30,0.7,0.3,345,19858,8510,0.9992949471210341,0.9903240093240093,0.9977439915495517,0.9940042723962619
60_40,0.6,0.4,446,17020,11348,0.9933909058864998,0.996615828896309,0.8903508771929824,0.9367258140167154
