split_tag,train_ratio,test_ratio,seed,num_train,num_test,accuracy,precision_macro,recall_macro,f1_macro
90_10,0.9,0.1,143,14587,1622,0.32552404438964244,0.37409219627529483,0.3931270312585469,0.27987966501280137
80_20,0.8,0.2,244,12968,3241,0.289108299907436,0.37997189321796737,0.35045767459931376,0.22259936755707196
70_30,0.7,0.3,345,11347,4862,0.16495269436445906,0.30836991422462506,0.33224635683701786,0.09770742317674848
60_40,0.6,0.4,446,9725,6484,0.24491054904380014,0.3581626646292167,0.3906082497472285,0.2293174335672485
