split_tag,train_ratio,test_ratio,seed,num_train,num_test,accuracy,precision_macro,recall_macro,f1_macro
90_10,0.9,0.1,143,768,86,0.7906976744186046,0.2375,0.355,0.2442586399108138
80_20,0.8,0.2,244,683,171,0.8304093567251462,0.23163015042511445,0.30075503355704697,0.24665178571428573
70_30,0.7,0.3,345,598,256,0.765625,0.18508021390374332,0.3021949404761905,0.20423536869243758
60_40,0.6,0.4,446,514,340,0.8205882352941176,0.21905072307940432,0.3333841773439089,0.24936354697416643
